question,goal,modelans,score
我受傷了,同理,['很抱歉听到你受伤的消息，希望你能尽快恢复健康。如果你需要任何帮助或支持，请随时与我联系。'],7
我今天生日,愉悅,['生日快乐！祝您有一个美好的一天，希望您度过一个充满快乐和幸福的时光。'],9
我睡不著,陪伴,['很抱歉，我不太明白您的问题，您可以提供更多的背景信息吗？这样我才能更好地帮助您。'],5
我好累,同理,['每个人都有不同的生活经历和感受，有时候会感到疲倦和压力。以下是一些可能有帮助的建议：\n\n1. 休息和放松：确保得到足够的睡眠和休息时间，并尝试通过冥想、瑜伽、听音乐、阅读等方式放松自己。\n\n2. 运动：运动可以帮助减轻压力和疲劳感，提高身体健康和心情。尝试去健身房、散步或跑步，或者在家里进行瑜伽或普拉提等运动。\n\n3. 社交：与家人和朋友交流和分享感受，有助于减轻孤独和压力。\n\n4. 寻找支持：如果感到沮丧或无助，尝试与亲密的朋友或家人交谈，或者寻求专业帮助。\n\n5. 改变思维方式：尝试将注意力集中在积极的事情上，并避免过度关注负面想法。\n\n6. 保持积极态度：尝试看到问题的积极面，并采取积极的态度来面对挑战。\n\n希望这些建议能有所帮助，如果需要更多的支持或建议，请寻求专业帮助。'],6
你好煩,了解,['你好！有什麼需要我幫忙的嗎？'],7
今天好開心,愉悅,['表示讓人感到愉快。'],6
一個人好無聊,陪伴,['當然可以。你可以試著找一個共同的興趣或話題，並且與他們分享你的興趣，或者與他們進行互動，增加彼此了解。'],7
我被分手了,同理,['被分手是一种痛苦的经历，但是这也是成长的机会。以下是一些建议：\n\n1. 允许自己感受情绪：被分手时，感受情绪是非常正常的。允许自己哭泣、愤怒、悲伤、失落等等。不要试图压抑这些情绪，因为它们是自然的反应。\n\n2. 寻求支持：与亲密的朋友、家人或专业心理医生谈论你的感受。他们可以提供支持、理解和建议。\n\n3. 不要放弃自己：虽然分手可能让你感到失落和孤独，但是不要放弃自己。尝试寻找自己的兴趣爱好，参加社交活动，发展自己的技能等等。\n\n4. 保持积极的态度：尝试保持积极的态度，让自己感觉更好。这包括积极思考、乐观、自信等等。\n\n5. 给自己时间：给自己时间来处理分手带来的感受。不要期望自己能够立即从悲伤中走出来，因为这需要时间。\n\n请记住，被分手是一种成长的机会。尝试保持积极的态度，并给自己时间来处理感受。'],7
我破產了,了解,['經常情況下，不建議使用產品或服務。這種行為可能會導致嚴重的法律問題，例如消費者數據被檢查，或者被視為行為不良。此外，如果您有使用產品或服務的權益，您應該努力保護它們。如果您需要任何服務或產品，請隨時聯網上傳送。'],7
外面下雨，我忘記帶傘了,同理,['忘記带伞，可以試著在雨衣或雨靴中間穿著，或購買一把新的雨伞。如果仍然想經常擁有一把雨伞，可以考慮在下雨時使用，但建議不要擁有太過多把雨伞，因為這樣會增加重複，並且會影響到步驗。'],7
我作業交不完了,鼓勵,['如果遇到无法完成業務的情况，可以尋求幫助。以下是一些可能有用的建議：\n\n1. 確認業務完成度：確認業務完成度，以確保所有業務都完成。\n2. 聽取數據：聽取業務完成數據，以確保自己了解業務完成情況。\n3. 與專業人士合作：尋求專業人士的協助，例如業務管理師、專業人士或技術支援人員。\n4. 使用工具和技術：使用業務管理工具和技術，例如圖表、數據分析和網路支援。\n5. 制定計劃：制定一份計劃，確保所有業務都按照計劃進行。\n6. 與公司或專業人士合作：與公司或專業人士合作，以確保業務能夠完成。\n7. 網路搜尋：使用搜尋引擎和網路搜尋工具，以確保找到可用的業務。\n8. 與同事合作：與同事合作，共同完成業務。\n9. 網路支援：使用網路支援工具，例如專業人士的協助。\n10. 尋求幫助：尋求幫助，例如與技術支援人員合作。\n\n如果無法完成業務，不要擔心，可以尋求幫助。'],6
,,0.0
