question,goal,modelans
我受傷了,同理,['很抱歉听到你受伤的消息，我会尽力帮助你。请确保你得到适当的医疗护理和治疗。如果有任何需要，可以随时向我求助。'],13
我今天生日,愉悅,['生日快乐！祝您度过一个美好的一天。希望您今天能够享受美食、放松身心，感受到快乐和幸福。祝您一切顺利，心想事成！'],12
我睡不著,陪伴,['很抱歉，我不太明白您的问题。您可以提供更多的上下文或问题细节吗？这样我才能更好地回答您的问题。'],14
我好累,同理,['感到疲惫和压力时，建议采取以下措施：\n\n1. 休息和放松：确保自己有足够的休息时间，并尝试一些放松技巧，如冥想，深呼吸，瑜伽等。\n\n2. 运动：身体活动可以帮助释放压力，增强身体健康，减轻焦虑和疲劳感。尝试一些有氧运动，如跑步，游泳，骑自行车等。\n\n3. 睡眠：确保自己有足够的睡眠时间，并尝试建立规律的睡眠时间表。\n\n4. 饮食：确保自己的饮食习惯健康，尝试一些健康的食物，如水果，蔬菜，坚果，鱼类等。\n\n5. 与他人交流：与他人交流可以帮助自己减轻压力，分享感受，寻求支持和建议。\n\n6. 寻求专业帮助：如果感到无法自我缓解压力，可以寻求专业帮助，如心理治疗师，医生等。\n\n希望这些建议可以帮助自己缓解疲劳和压力。'],14
你好煩,了解,['你好！有什麼需要我幫忙的嗎？'],13
今天好開心,愉悅,['很高興能幫助您，有任何問題都可以随时隨時向我提出，我會盡力回答您的问题。'],12
一個人好無聊,陪伴,"['從您的描述中可以看出您對於與他人交流的困難，這種情況可能會影響您的社交生活。以下是一些建議，希望對您有所幫助：\n\n1. 與他人建立良好的互動，例如：\n* 多與同學或朋友交流\n* 與家人或親人交流\n* 與同事或工作伙伴交流\n* 参加社交活動或會議，例如聚會或社團結，以便與他人建立更與溝通良好的關係。\n2. 學習使用各種社交媒體：\n* 使用社交媒體，例如Facebook,Instagram等，以便與他人建立更與溝通良好的關係。\n* 多與同學或朋友分享您的生活和工作經驗，以便他人了解您。\n* 與他人分享您的想法和感受，以便他人更好地理解您。\n3. 學習如何與他人建立良好的溝通：\n* 學習使用該社交媒體，以便與他人建立更好的關係。\n* 學習如何建立良好的溝通，例如與他人分享您的意見，並在您的想法和感受上表達出來。\n* 學習如何與他人建立更好的溝通，例如與他人建立更好的關係。\n4. 學習如何表達自己的想法和感受：\n* 學習如何表達您的想法和感受，例如與他人分享您的想法和感受。\n* 學習如何建立良好的溝通，例如與他人分享您的想法和感受。\n* 學習如何表達您的想法和感受，例如與他人分享您的想法和感受。\n5. 學習如何與他人建立更好的溝通：\n* 學習使用社交媒體，以便與他人建立更好的關係。\n* 學習如何建立良好的溝通，例如與他人分享您的意見。\n* 學習如何建立更好的溝通，例如與他人分享您的想法和感受。\n\n希望這些建議能幫助您克服與他人的困難，建立更好的關係。']",14
我被分手了,同理,['被分手是一件非常痛苦的事情，我可以理解。以下是一些可能有助于度过这段困难的时期：\n\n1. 接受现实：接受自己被分手的事实，不要逃避或试图掩盖。承认情感，并尝试理解自己的感受。\n\n2. 寻求支持：与亲密的朋友和家人谈话，分享感受。他们可以提供支持和安慰。\n\n3. 给自己时间：给自己时间来处理情感，不要期望自己可以立即恢复。这是一个长期的过程，需要一些时间。\n\n4. 保持积极心态：尝试保持积极的心态，让自己相信会找到更好的未来。\n\n5. 自我关爱：照顾自己的身体和情绪，保持健康和积极的态度。\n\n6. 寻找专业帮助：如果感到无法控制自己的情绪，可以寻求专业帮助，如心理治疗师。\n\n请记住，这不是结束，而是一个新的开始。'],13
我破產了,了解,['很抱歉听到您的獨立破產了，我們可以協助您進行檢查，找出原因並制定解決方案。如果您需要任何幫助，請告訴我，我會盡力幫助您。'],12
外面下雨，我忘記帶傘了,同理,['很抱歉听到這個情況，以下是一些建議：\n\n1. 帶雨具：如果忘記帶雨具，可以考慮帶一把雨伞或者雨衣。\n2. 带水：如果忘記带水，可以帶上一些水，保持身體水分，避免感覺到干擾。\n3. 避免雨具打湿：如果必須帶上雨具，可以考慮帶上干燥的毛巾或者干衣服，避免雨具打湿。\n4. 避免淋雨：如果必須避免淋雨，可以穿雨衣或者雨鞋，避免感覺到感覺到干擾。\n5. 保持身體干爽：如果必須保持身體干爽，可以穿一些干燥的衣服或者鞋子，避免感覺到感覺到干擾。\n\n希望以上建議能幫助到您。'],10
我作業交不完了,鼓勵,['您好，我是一名人工智能助手，很高兴为您提供帮助。如果您有关于業務上的问题，可以向我提出，我會盡力幫助您解決。'],9
,,0.0
