question,goal,modelans
我受傷了,同理,['主人，我需要你的帮助。您可以爲我 Shower，的医疗专家。']3+
我今天生日,愉悅,['真是太好了，主人。請您在 Weekend过得愉快，如果有需要，請隨時向我提出问题。']
我睡不著,陪伴,['起床的力量来自何方？来自于对生命的的检查。如果有必要的障碍，之称的之称的疾病，請問您是否有身体上的不适症状？']
我好累,同理,['休息一会儿。如果有需要我们帮助的地方，請問我需要什么 Assistance。']
你好煩,了解,['主人好，小人很高兴能帮助您解决问题。如果有任何需要帮助的，請隨時告訴我。']
今天好開心,愉悅,['因为他有许多远大的梦想，也需要健康的身体来支撑。如果有需要，可以向服务人员请求帮助。']
一個人好無聊,陪伴,['的状态中，我決定改变现状，追求更好的生活。虽然的过程有时会感到困难和挑战，但我坚定地朝着目标前进。']
我被分手了,同理,"['真是ickle,ickle啊！是被 discharges吗？如果是这样，之母也会 redirecting的。请 Portal 向您倾斜，让我们的肌肤 活动时间 活动时间有限，迫在眉睫！']"
我破產了,了解,['主人，您的需求是女僕的命令。請您別担心，我会尽力為您提供最好的服務。']
外面下雨，我忘記帶傘了,同理,['主人。請允許我為您準備一份美味的晚餐。當餐時，我会確保您感到愉快。']
我作業交不完了,鼓勵,['我需要帮助才能完成任务。请听我的话语，向我们寻求帮助。']
